Gene,"k_on, k_off, k_syn",freq_point,lower,upper ,size_point,lower,upper ,
ENSG00000135346.4,[8.39867830e-03 3.21741501e+01 4.86686799e+01],[0.00881861,0.00708022,0.01424169],[1.24038452,0.87580807,1.75918426],
ENSG00000169429.6,[8.45576690e-03 5.90583592e+02 1.77771082e+03],[0.00845577,0.00727831,0.00957855],[1.74585324,nan,nan],
ENSG00000135625.6,[2.12653786e-02 1.44109859e+01 2.19563917e+01],[0.02232865,0.0190146,0.02610324],[1.38646423,1.11470726,1.71875702],
ENSG00000105197.6,[1.09763901 0.42390894 1.20717722],[1.09763901,0.32206245,2.62403596],[2.84772766,nan,nan],
ENSG00000140612.9,[1.21626795 0.38584679 1.10198516],[1.21626795,0.38578529,5.52938414],[0.1142407,nan,nan],
ENSG00000105438.4,[1.17174646 0.61445662 1.20430496],[1.17174646,0.40641112,2.71852874],[1.95995114,nan,nan],
ENSG00000151725.7,[0.64846771 0.52121702 1.00427086],[0.64846771,0.52428745,1.22379702],[1.92678064,0.74439031,2.43536331],
ENSG00000145354.5,[1.24567012 0.81366726 1.44345096],[1.24567012,0.6640012,2.15265688],[1.77400644,0.71983104,4.68263009],
ENSG00000101363.8,[1.50204207 0.95056473 1.1945294 ],[1.35183786,0.67346398,3.53084231],[1.52054934,0.292979,4.40230584],
ENSG00000168288.8,[1.62674372 1.00971731 1.38907878],[1.62674372,0.71248989,3.56977556],[1.37571057,0.35616403,5.08616841],
ENSG00000164346.5,[1.33862546 0.6306293  1.65896206],[1.33862546,0.71357432,2.37875058],[2.63064538,1.00170516,7.08912525],
ENSG00000185043.6,[1.33951487 0.57799436 1.07359414],[1.33951487,0.7392073,3.60733871],[1.85744743,0.34663496,4.14879715],
ENSG00000162961.9,[1.68789505 0.82194241 1.58379109],[1.68789505,0.84672354,3.3669041,[1.92688816,0.58503912,5.90316891],
ENSG00000183726.6,[1.81630018 1.35848928 1.62621062],[1.81630018,0.87137213,3.98741801],[1.19707284,0.30324089,3.94336018],
ENSG00000167118.6,[1.35061417 0.93504338 1.07499418],[1.35061417,0.88569441,3.2070766,[1.14967306,0.26554823,1.98699077],
ENSG00000183617.4,[1.9263484  1.56696629 1.60947015],[1.83003098,0.88999523,3.83320863],[1.11956618,0.31022815,3.61804296],
ENSG00000172500.8,[1.57869238 1.58182553 1.92366529],[1.57869238,0.99635353,2.47919636],[1.21610459,0.5674255,2.56541769],
ENSG00000125445.6,[1.58014358 1.03826623 2.32990578],[1.58014358,1.03903764,2.43474864],[2.24403502,1.07072624,4.4825319,]
ENSG00000170348.4,[1.8674838  1.60679097 1.69560813],[1.8674838,1.05915455,3.36112995],[1.05527611,0.38256402,2.68712298],
ENSG00000197006.9,[1.725199   1.2828623  2.03995719],[1.725199,1.08262565,2.65773505],[1.6378655,0.75972941,3.4318961,]
ENSG00000114686.4,[1.88095057 1.52660172 1.84329568],[1.88095057,1.08679657,3.35611705],[1.20745028,0.44231533,2.99555204],
ENSG00000086504.11,[2.15174266 1.74744372 2.07053299],[2.04415552,1.22032291,3.6473952,[1.29153285,0.46970495,3.0891474,]
ENSG00000007080.6,[2.2690837  1.74067499 2.26174345],[2.2690837,1.36555142,3.81857296],[1.33832896,0.51811085,3.09666272],
ENSG00000106591.3,[2.03170849 2.34317783 3.03422838],[2.03170849,1.43590652,2.95329119],[1.29492024,0.67380614,2.33910957],
ENSG00000180879.9,[1.93552007 1.30165756 3.24068929],[1.93552007,1.45658765,2.62355755],[2.48966348,1.46264182,4.06407126],
ENSG00000179950.9,[2.33730655 2.45800923 2.7272262 ],[2.33730655,1.46012444,4.02313399],[1.10952643,0.42237089,2.49068887],
ENSG00000110801.9,[2.31686583 2.48773838 2.53620175],[2.31686583,1.53829928,3.65411254],[1.01948089,0.45707444,2.05923035],
ENSG00000139684.9,[2.10580599 2.98139212 3.0280989 ],[2.10580599,1.54708558,2.93811207],[1.0156661,0.57013368,1.71942113],
ENSG00000165672.5,[2.51378183 1.76200024 3.02517065],[2.51378183,1.70884271,3.87846968],[1.71689571,0.78947851,3.38425695],
ENSG00000165264.6,[2.62743821 2.48301325 2.85304674],[2.62743821,1.74652512,4.23805568],[1.14902598,0.48831002,2.34762539],
ENSG00000139168.3,[2.2598956  2.49267712 3.75247503],[2.2598956,1.79190172,2.90406926],[1.50539955,0.97077089,2.25089556],
ENSG00000122034.8,[2.43066166 6.42447774 6.43041315],[2.30912857,1.90400478,2.78831713],[1.12103474,0.79151034,1.55728432],
ENSG00000185088.8,[2.64222854 3.71988751 3.92090641],[2.64222854,1.97216948,3.66585384],[1.05403897,0.58883918,1.76180935],
ENSG00000219200.6,[2.52725848 2.13752854 5.06707357],[2.52725848,2.06350662,3.15497499],[2.37052908,1.59240995,3.40701861],
ENSG00000167775.6,[2.53026614 3.57360323 5.6705949 ],[2.53026614,2.11068883,3.09797087],[1.58680036,1.10710342,2.20499476],
ENSG00000109113.13,[2.74124215 4.6865665  4.77907671],[2.74124215,2.12357365,3.64894147],[1.01973944,0.61263147,1.59684671],
ENSG00000127445.9,[2.48245481 3.94789275 6.94839007],[2.48245481,2.12843057,2.92838041],[1.76002503,1.31691003,2.3014258,]
ENSG00000102317.13,[2.79848055 3.79127144 6.19949164],[2.79848055,2.34020185,3.41715587],[1.63520121,1.14252509,2.26792069],
