Gene ,"Allele 1 parameters (k_on, k_off, k_syn)","Allele 2 parameters (k_on, k_off, k_syn)",freq p-value,size p-value 
ENSG00000143947.8,[  4.8443057   54.15001134 296.0825557 ],[  4.00108075  12.64712123 101.10419264],6.45E-14,0
ENSG00000104904.8,[ 3.49110869 11.59580066 45.69217144],[  4.20402209  45.24233354 124.37136125],3.95E-09,0
ENSG00000063177.8,[  4.63499573  70.70414306 271.65923236],[ 3.75564542 12.11606862 70.62918233],1.28E-14,3.44E-15
ENSG00000255823.1,[ 2.43388982 13.30643468 25.96798654],[  2.88990172 110.57702274 163.15047772],1.17E-05,7.82E-14
ENSG00000179271.1,[ 3.59884471  9.44213055 20.97048461],[ 4.62765411 45.54032629 62.74560959],8.33E-11,1.36E-13
ENSG00000187514.10,[  3.56618642  10.60725606 123.02177232],[  3.95109901  19.03759024 180.12763393],2.41E-05,9.95E-13
ENSG00000197728.5,[  3.87520312  27.42033133 109.63902059],[ 3.3337439  10.36776695 55.79381885],4.65E-08,1.91E-10
ENSG00000122566.16,[ 5.65175955 27.92355583 32.4918962 ],[ 4.46209499  9.68451525 17.33668897],3.90E-06,1.82E-07
ENSG00000229117.4,[  3.42980066  18.39167853 436.45840073],[  3.45054326  18.48597997 408.35176826],0.939214152,3.39E-07
ENSG00000138326.14,[  4.95511861  35.11341461 138.95928698],[ 4.06769085 10.63286472 62.10469056],0.008840455,7.17E-06
ENSG00000147403.12,[  4.49633854  32.53246164 309.77175451],[  4.49563249  32.17372089 306.90653827],0.191234718,0.000358725
ENSG00000137818.7,[4.19151724e+00 5.68434785e+02 1.00000000e+04],[   4.10190284  115.02290928 2124.54430587],0.138298409,0.001081003
ENSG00000130255.8,[  3.82580064  20.1279829  130.28221222],[  3.73745226  17.24342675 126.84688399],0.350461456,0.0016611
ENSG00000140988.11,[  2.9490902   27.26213729 660.99009655],[  2.95088001  27.43132151 664.30553756],1,0.009417365
ENSG00000118523.5,[3.64780328e-01 4.79733250e+02 1.23346595e+03],[2.60040872e-01 9.64969126e+02 2.68020253e+03],1,0.010492396
ENSG00000167526.9,[  3.65452151  51.51761133 667.01134376],[  3.66119245  53.82351513 694.20264892],0.890648681,0.011051386
ENSG00000164032.7,[  2.72054493  17.17584998 134.64809179],[  2.72361301  17.33099446 135.65920133],2.03E-05,0.012492881
ENSG00000198242.9,[  4.27304147  66.07632821 337.71938053],[  4.27759884  67.42549562 344.17690398],1,0.045074484
ENSG00000122026.6,[  4.32161945  24.43041403 243.3076544 ],[  4.3125775   23.75655741 237.91257203],0.719515982,0.096443366
ENSG00000156508.13,[   5.1376622   213.79198201 1489.66053584],[  5.06632763 129.2367077  926.83722841],0.500604052,0.193494046
ENSG00000164611.8,[  1.20203719 102.73295504 154.99468829],[ 1.17727811 41.93388398 65.68486304],0.560329568,0.217733585
ENSG00000143933.12,[  3.19131607 432.47214274 604.74032272],[  3.31983758 586.06169161 784.14335146],0.883022877,0.25105252
ENSG00000122034.8,[2.22831842 4.7454303  5.52238382],[2.43066166 6.42447774 6.43041315],0.746083751,0.278060837
ENSG00000135486.13,[  5.1789213   82.55516508 114.14787071],[  5.28375023 115.64573598 154.26133239],0.560585256,0.320488223
ENSG00000197903.6,[6.63182280e-01 9.36396704e+02 9.76943740e+02],[6.33040881e-01 9.89081807e+02 1.08138882e+03],1,0.323972363
ENSG00000176340.3,[ 3.72380099 43.17435684 93.86757583],[ 3.72868796 44.25424312 95.95088916],1,0.332441142
ENSG00000269028.2,[  2.93855002 118.68199635 302.492119  ],[  2.97783607 207.50113404 512.64606025],0.69871873,0.341778092
ENSG00000083845.4,[  4.94057102 101.98909057 421.23812533],[  4.95489296 106.74637358 438.81145606],1,0.35586628
ENSG00000165502.6,[ 4.82389886 47.42283941 52.4913882 ],[ 4.89356217 56.94775671 61.17775567],0.732744224,0.365605984
